"full_taxon_name"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"taxon_annotation"
"OTU_97.14705"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14707"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14710"	"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Fusobacteriaceae|Fusobacterium"	"2"	"32066"	"203490"	"203491"	"203492"	"848"	"anaerobic"
"OTU_97.14712"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus"	"2"	"1224"	"1236"	"135625"	"712"	"724"	"facultative_anaerobic"
"OTU_97.14715"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14716"	"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Corynebacteriaceae|Corynebacterium"	"2"	"201174"	"1760"	"85007"	"1653"	"1716"	"aerobic"
"OTU_97.14720"	"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces"	"2"	"201174"	"1760"	"2037"	"2049"	"1654"	"anaerobic"
"OTU_97.14722"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus"	"2"	"1224"	"1236"	"135625"	"712"	"724"	"facultative_anaerobic"
"OTU_97.14726"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14727"	"Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter"	"2"	"1224"	"29547"	"213849"	"72294"	"194"	"facultative_anaerobic"
"OTU_97.14734"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus"	"2"	"1224"	"1236"	"135625"	"712"	"724"	"facultative_anaerobic"
"OTU_97.14738"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus"	"2"	"1224"	"1236"	"135625"	"712"	"724"	"facultative_anaerobic"
"OTU_97.14740"	"Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|NA"	"2"	"1224"	"28216"	"206351"	"481"	NA	NA
"OTU_97.14741"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|NA|NA"	"2"	"976"	"200643"	"171549"	NA	NA	NA
"OTU_97.14742"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14746"	"Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia"	"2"	"1224"	"28216"	"80840"	"119060"	"47670"	"aerobic"
"OTU_97.14749"	"Bacteria|Bacteroidetes|Flavobacteria|Flavobacteriales|Flavobacteriaceae|Capnocytophaga"	"2"	"976"	"117743"	"200644"	"49546"	"1016"	"facultative_anaerobic"
"OTU_97.14750"	"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces"	"2"	"201174"	"1760"	"2037"	"2049"	"1654"	"anaerobic"
"OTU_97.14751"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14759"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|NA"	"2"	"1239"	"186801"	"186802"	"186803"	NA	NA
"OTU_97.14760"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14762"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14765"	"Bacteria|Bacteroidetes|Flavobacteria|Flavobacteriales|Flavobacteriaceae|NA"	"2"	"976"	"117743"	"200644"	"49546"	NA	NA
"OTU_97.14773"	"Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria"	"2"	"1224"	"28216"	"206351"	"481"	"482"	"aerobic"
"OTU_97.14779"	"Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia"	"2"	"1224"	"28216"	"80840"	"119060"	"47670"	"aerobic"
"OTU_97.14781"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas"	"2"	"976"	"200643"	"171549"	"171551"	"836"	"anaerobic"
"OTU_97.14782"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14783"	"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Fusobacteriaceae|Leptotrichia"	"2"	"32066"	"203490"	"203491"	"1129771"	"32067"	"anaerobic"
"OTU_97.14786"	"Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria"	"2"	"1224"	"28216"	"206351"	"481"	"482"	"aerobic"
"OTU_97.14789"	"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Fusobacteriaceae|Fusobacterium"	"2"	"32066"	"203490"	"203491"	"203492"	"848"	"anaerobic"
"OTU_97.14791"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.148"	"Bacteria|Spirochaetes|Spirochaetes|Spirochaetales|Spirochaetaceae|Treponema"	"2"	"203691"	"203692"	"136"	"2845253"	"157"	"anaerobic"
"OTU_97.1480"	"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Fusobacteriaceae|Fusobacterium"	"2"	"32066"	"203490"	"203491"	"203492"	"848"	"anaerobic"
"OTU_97.14800"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|NA"	"2"	"976"	"200643"	"171549"	"171551"	NA	NA
"OTU_97.14802"	"Bacteria|Firmicutes|Clostridia|Clostridiales|NA|NA"	"2"	"1239"	"186801"	"186802"	NA	NA	NA
"OTU_97.14803"	"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Fusobacteriaceae|Leptotrichia"	"2"	"32066"	"203490"	"203491"	"1129771"	"32067"	"anaerobic"
"OTU_97.14804"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus"	"2"	"1224"	"1236"	"135625"	"712"	"724"	"facultative_anaerobic"
"OTU_97.14806"	"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Fusobacteriaceae|Fusobacterium"	"2"	"32066"	"203490"	"203491"	"203492"	"848"	"anaerobic"
"OTU_97.14808"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14809"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14811"	"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Fusobacteriaceae|Leptotrichia"	"2"	"32066"	"203490"	"203491"	"1129771"	"32067"	"anaerobic"
"OTU_97.14813"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14814"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14817"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.1482"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14820"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14824"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium"	"2"	"1239"	"186801"	"186802"	"186803"	"265975"	"anaerobic"
"OTU_97.14825"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14826"	"Bacteria|Synergistetes|Synergistia|Synergistales|Dethiosulfovibrionaceae|TG5"	"2"	"508458"	"649775"	"649776"	NA	NA	NA
"OTU_97.14827"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas"	"2"	"976"	"200643"	"171549"	"171551"	"836"	"anaerobic"
"OTU_97.14831"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus"	"2"	"1224"	"1236"	"135625"	"712"	"724"	"facultative_anaerobic"
"OTU_97.14832"	"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Fusobacteriaceae|Leptotrichia"	"2"	"32066"	"203490"	"203491"	"1129771"	"32067"	"anaerobic"
"OTU_97.14837"	"Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter"	"2"	"1224"	"29547"	"213849"	"72294"	"194"	"facultative_anaerobic"
"OTU_97.1484"	"Bacteria|Firmicutes|Clostridia|Clostridiales|NA|NA"	"2"	"1239"	"186801"	"186802"	NA	NA	NA
"OTU_97.14846"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14848"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus"	"2"	"1224"	"1236"	"135625"	"712"	"724"	"facultative_anaerobic"
"OTU_97.14849"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|NA"	"2"	"1239"	"186801"	"186802"	"186803"	NA	NA
"OTU_97.1485"	"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Fusobacteriaceae|Leptotrichia"	"2"	"32066"	"203490"	"203491"	"1129771"	"32067"	"anaerobic"
"OTU_97.14850"	"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Corynebacteriaceae|Corynebacterium"	"2"	"201174"	"1760"	"85007"	"1653"	"1716"	"aerobic"
"OTU_97.14851"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14853"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas"	"2"	"1224"	"1236"	"72274"	"135621"	"286"	"facultative_anaerobic"
"OTU_97.14856"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|NA"	"2"	"1239"	"186801"	"186802"	"186803"	NA	NA
"OTU_97.14861"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas"	"2"	"976"	"200643"	"171549"	"171551"	"836"	"anaerobic"
"OTU_97.14866"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus"	"2"	"1224"	"1236"	"135625"	"712"	"724"	"facultative_anaerobic"
"OTU_97.14867"	"Bacteria|Bacteroidetes|Flavobacteria|Flavobacteriales|Flavobacteriaceae|Capnocytophaga"	"2"	"976"	"117743"	"200644"	"49546"	"1016"	"facultative_anaerobic"
"OTU_97.1487"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14872"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14876"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14878"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|NA"	"2"	"1239"	"186801"	"186802"	"186803"	NA	NA
"OTU_97.14879"	"Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter"	"2"	"1224"	"29547"	"213849"	"72294"	"194"	"facultative_anaerobic"
"OTU_97.14881"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Actinobacillus"	"2"	"1224"	"1236"	"135625"	"712"	"713"	"aerobic"
"OTU_97.14882"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14887"	"Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter"	"2"	"1224"	"29547"	"213849"	"72294"	"194"	"facultative_anaerobic"
"OTU_97.14889"	"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Fusobacteriaceae|Fusobacterium"	"2"	"32066"	"203490"	"203491"	"203492"	"848"	"anaerobic"
"OTU_97.1489"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus"	"2"	"1224"	"1236"	"135625"	"712"	"724"	"facultative_anaerobic"
"OTU_97.14890"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14891"	"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces"	"2"	"201174"	"1760"	"2037"	"2049"	"1654"	"anaerobic"
"OTU_97.14892"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus"	"2"	"1224"	"1236"	"135625"	"712"	"724"	"facultative_anaerobic"
"OTU_97.14893"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus"	"2"	"1224"	"1236"	"135625"	"712"	"724"	"facultative_anaerobic"
"OTU_97.14894"	"Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter"	"2"	"1224"	"29547"	"213849"	"72294"	"194"	"facultative_anaerobic"
"OTU_97.14895"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella"	"2"	"1239"	"91061"	"186826"	"186828"	"117563"	"anaerobic"
"OTU_97.14901"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Veillonella"	"2"	"1239"	"909932"	"1843489"	"31977"	NA	"anaerobic"
"OTU_97.14905"	"Bacteria|Bacteroidetes|Flavobacteria|Flavobacteriales|Flavobacteriaceae|Capnocytophaga"	"2"	"976"	"117743"	"200644"	"49546"	"1016"	"facultative_anaerobic"
"OTU_97.14907"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|NA"	"2"	"1224"	"1236"	"135625"	"712"	NA	NA
"OTU_97.14909"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Veillonella"	"2"	"1239"	"909932"	"1843489"	"31977"	NA	"anaerobic"
"OTU_97.14911"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella"	"2"	"1239"	"91061"	"186826"	"186828"	"117563"	"anaerobic"
"OTU_97.14913"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Veillonella"	"2"	"1239"	"909932"	"1843489"	"31977"	NA	"anaerobic"
"OTU_97.14917"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14919"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|NA"	"2"	"1224"	"1236"	"135625"	"712"	NA	NA
"OTU_97.1492"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14920"	"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces"	"2"	"201174"	"1760"	"2037"	"2049"	"1654"	"anaerobic"
"OTU_97.14921"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|NA"	"2"	"1224"	"1236"	"135625"	"712"	NA	NA
"OTU_97.14922"	"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Fusobacteriaceae|Leptotrichia"	"2"	"32066"	"203490"	"203491"	"1129771"	"32067"	"anaerobic"
"OTU_97.14923"	"Bacteria|Spirochaetes|Spirochaetes|Spirochaetales|Spirochaetaceae|Treponema"	"2"	"203691"	"203692"	"136"	"2845253"	"157"	"anaerobic"
"OTU_97.14925"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|NA"	"2"	"1224"	"1236"	"135625"	"712"	NA	NA
"OTU_97.14926"	"Bacteria|Firmicutes|Bacilli|Gemellales|Gemellaceae|Gemella"	"2"	"1239"	"91061"	"1385"	NA	"1378"	"facultative_anaerobic"
"OTU_97.14927"	"Bacteria|Bacteroidetes|Flavobacteria|Flavobacteriales|Flavobacteriaceae|Capnocytophaga"	"2"	"976"	"117743"	"200644"	"49546"	"1016"	"facultative_anaerobic"
"OTU_97.14933"	"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces"	"2"	"201174"	"1760"	"2037"	"2049"	"1654"	"anaerobic"
"OTU_97.14934"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas"	"2"	"976"	"200643"	"171549"	"171551"	"836"	"anaerobic"
"OTU_97.14935"	"Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria"	"2"	"1224"	"28216"	"206351"	"481"	"482"	"aerobic"
"OTU_97.14938"	"Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria"	"2"	"1224"	"28216"	"206351"	"481"	"482"	"aerobic"
"OTU_97.14939"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|Eubacterium"	"2"	"1239"	"186801"	"186802"	"186806"	"1730"	NA
"OTU_97.1494"	"Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|NA|NA"	"2"	"1224"	"28216"	"80840"	NA	NA	NA
"OTU_97.1495"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas"	"2"	"976"	"200643"	"171549"	"171551"	"836"	"anaerobic"
"OTU_97.14950"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella"	"2"	"1239"	"91061"	"186826"	"186828"	"117563"	"anaerobic"
"OTU_97.14952"	"Bacteria|Bacteroidetes|Flavobacteria|Flavobacteriales|Flavobacteriaceae|Capnocytophaga"	"2"	"976"	"117743"	"200644"	"49546"	"1016"	"facultative_anaerobic"
"OTU_97.14954"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14956"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter"	"2"	"1224"	"1236"	"135625"	"712"	"416916"	"facultative_anaerobic"
"OTU_97.1496"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Veillonella"	"2"	"1239"	"909932"	"1843489"	"31977"	NA	"anaerobic"
"OTU_97.14961"	"Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria"	"2"	"1224"	"28216"	"206351"	"481"	"482"	"aerobic"
"OTU_97.14962"	"Bacteria|Bacteroidetes|Flavobacteria|Flavobacteriales|Flavobacteriaceae|Capnocytophaga"	"2"	"976"	"117743"	"200644"	"49546"	"1016"	"facultative_anaerobic"
"OTU_97.14964"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella"	"2"	"1239"	"91061"	"186826"	"186828"	"117563"	"anaerobic"
"OTU_97.14971"	"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|NA|NA"	"2"	"201174"	"1760"	"2037"	NA	NA	NA
"OTU_97.14972"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.14974"	"Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter"	"2"	"1224"	"29547"	"213849"	"72294"	"194"	"facultative_anaerobic"
"OTU_97.14977"	"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Corynebacteriaceae|Corynebacterium"	"2"	"201174"	"1760"	"85007"	"1653"	"1716"	"aerobic"
"OTU_97.14980"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14981"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|NA"	"2"	"1239"	"186801"	"186802"	"186803"	NA	NA
"OTU_97.14982"	"Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Atopobium"	"2"	"201174"	"84998"	"84999"	"1643824"	"1380"	"facultative_anaerobic"
"OTU_97.14983"	"Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria"	"2"	"1224"	"28216"	"206351"	"481"	"482"	"aerobic"
"OTU_97.14985"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|NA|NA"	"2"	"976"	"200643"	"171549"	NA	NA	NA
"OTU_97.14986"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter"	"2"	"1224"	"1236"	"135625"	"712"	"416916"	"facultative_anaerobic"
"OTU_97.14996"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.14999"	"Bacteria|Fusobacteria|Fusobacteria|Fusobacteriales|Fusobacteriaceae|Leptotrichia"	"2"	"32066"	"203490"	"203491"	"1129771"	"32067"	"anaerobic"
"OTU_97.15"	"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces"	"2"	"201174"	"1760"	"2037"	"2049"	"1654"	"anaerobic"
"OTU_97.15004"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|NA|NA"	"2"	"976"	"200643"	"171549"	NA	NA	NA
"OTU_97.1501"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.15013"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas"	"2"	"976"	"200643"	"171549"	"171551"	"836"	"anaerobic"
"OTU_97.15014"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Selenomonas"	"2"	"1239"	"909932"	"909929"	"1843491"	"970"	"anaerobic"
"OTU_97.15015"	"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Corynebacteriaceae|Corynebacterium"	"2"	"201174"	"1760"	"85007"	"1653"	"1716"	"aerobic"
"OTU_97.15017"	"Bacteria|Firmicutes|Bacilli|Gemellales|Gemellaceae|Gemella"	"2"	"1239"	"91061"	"1385"	NA	"1378"	"facultative_anaerobic"
"OTU_97.15026"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Selenomonas"	"2"	"1239"	"909932"	"909929"	"1843491"	"970"	"anaerobic"
"OTU_97.15028"	"Bacteria|Firmicutes|Clostridia|Clostridiales|NA|NA"	"2"	"1239"	"186801"	"186802"	NA	NA	NA
"OTU_97.15034"	"Bacteria|Bacteroidetes|Flavobacteria|Flavobacteriales|Flavobacteriaceae|Capnocytophaga"	"2"	"976"	"117743"	"200644"	"49546"	"1016"	"facultative_anaerobic"
"OTU_97.15036"	"Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia"	"2"	"1224"	"28216"	"80840"	"119060"	"47670"	"aerobic"
"OTU_97.15038"	"Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Corynebacteriaceae|Corynebacterium"	"2"	"201174"	"1760"	"85007"	"1653"	"1716"	"aerobic"
"OTU_97.15039"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|NA"	"2"	"1224"	"1236"	"135625"	"712"	NA	NA
"OTU_97.15045"	"Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|NA"	"2"	"1224"	"1236"	"135625"	"712"	NA	NA
"OTU_97.15046"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|NA|NA"	"2"	"976"	"200643"	"171549"	NA	NA	NA
"OTU_97.15047"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.15053"	"Bacteria|Bacteroidetes|Flavobacteria|Flavobacteriales|Flavobacteriaceae|Capnocytophaga"	"2"	"976"	"117743"	"200644"	"49546"	"1016"	"facultative_anaerobic"
"OTU_97.15055"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Dialister"	"2"	"1239"	"909932"	"1843489"	"31977"	"39948"	"anaerobic"
"OTU_97.15056"	"Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium"	"2"	"1239"	"186801"	"186802"	"186803"	"265975"	"anaerobic"
"OTU_97.15058"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.1506"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
"OTU_97.15060"	"Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella"	"2"	"976"	"200643"	"171549"	"171552"	"838"	"anaerobic"
"OTU_97.15065"	"Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"	"2"	"1239"	"91061"	"186826"	"1300"	NA	"facultative_anaerobic"
